FiscalYear,Actual_ReEstimated_Budget,AEA,Dist,DE_District,District Name,Column Name,Fund,Source,Expenditures Per Pupil,Amount,Enrollment Category,Enrollment Category Number
2017,Actual,07,0009,0009,AGWSR,geninstr,General,Instruction,7989,4997256,600-999,3
2017,Actual,07,0009,0009,AGWSR,genstudsupp,General,Student Support Services,179,111731,600-999,3
2017,Actual,07,0009,0009,AGWSR,geninstrsupp,General,Instructional Staff Support Services,545,341200,600-999,3
2017,Actual,07,0009,0009,AGWSR,gengenadmin,General,General Administration,261,163374,600-999,3
2017,Actual,07,0009,0009,AGWSR,genbldgadmin,General,School/Building Administration,449,280741,600-999,3
2017,Actual,07,0009,0009,AGWSR,gencentraladmin,General,Business & Central Administration,125,77962,600-999,3
2017,Actual,07,0009,0009,AGWSR,genopermtnc,General,Plant Operation and Maintenance,834,521628,600-999,3
2017,Actual,07,0009,0009,AGWSR,gentransp,General,Student Transportation,617,386194,600-999,3
2017,Actual,07,0009,0009,AGWSR,gennoninstr,General,Noninstructional Programs,7,4073,600-999,3
2017,Actual,07,0009,0009,AGWSR,genaeaflow,General,AEA Support - Direct to AEA,420,262789,600-999,3
2017,Actual,07,0009,0009,AGWSR,genotherfin,General,Transfers Out/Special Items/Down Adj,7,4531,600-999,3
2017,Actual,07,0009,0009,AGWSR,genendfb,General,Ending Fund Balance,2022,1264582,600-999,3
2017,Actual,13,0441,0441,AHSTW,geninstr,General,Instruction,7318,5744497,600-999,3
2017,Actual,13,0441,0441,AHSTW,genstudsupp,General,Student Support Services,176,138102,600-999,3
2017,Actual,13,0441,0441,AHSTW,geninstrsupp,General,Instructional Staff Support Services,488,383318,600-999,3
2017,Actual,13,0441,0441,AHSTW,gengenadmin,General,General Administration,388,304264,600-999,3
2017,Actual,13,0441,0441,AHSTW,genbldgadmin,General,School/Building Administration,503,394642,600-999,3
2017,Actual,13,0441,0441,AHSTW,gencentraladmin,General,Business & Central Administration,227,178326,600-999,3
2017,Actual,13,0441,0441,AHSTW,genopermtnc,General,Plant Operation and Maintenance,855,670872,600-999,3
2017,Actual,13,0441,0441,AHSTW,gentransp,General,Student Transportation,463,363454,600-999,3
2017,Actual,13,0441,0441,AHSTW,genaeaflow,General,AEA Support - Direct to AEA,409,320832,600-999,3
2017,Actual,13,0441,0441,AHSTW,genotherfin,General,Transfers Out/Special Items/Down Adj,10,7509,600-999,3
