School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2017,Reading,11,0027,Adel DeSoto Minburn Comm School District,105,116,90.5,90.1 - 100%,,,,,
2017,Math,11,0027,Adel DeSoto Minburn Comm School District,109,116,94.0,90.1 - 100%,,,,,
2017,Math,11,0009,AGWSR Comm School District,37,41,90.2,90.1 - 100%,,,,,
2017,Reading,11,0009,AGWSR Comm School District,32,41,78.0,70.1 - 80%,,,,,
2017,Reading,11,0441,AHSTW Comm School District,45,54,83.3,80.1 - 90%,,,,,
2017,Math,11,0441,AHSTW Comm School District,50,54,92.6,90.1 - 100%,,,,,
2017,Reading,11,0063,Akron Westfield Comm School District,29,34,85.3,80.1 - 90%,,,,,
2017,Math,11,0063,Akron Westfield Comm School District,31,34,91.2,90.1 - 100%,,,,,
2017,Math,11,0081,Albia Comm School District,66,77,85.7,80.1 - 90%,,,,,
2017,Reading,11,0081,Albia Comm School District,63,77,81.8,80.1 - 90%,,,,,
2017,Reading,11,0099,Alburnett Comm School District,37,45,82.2,80.1 - 90%,,,,,
2017,Math,11,0099,Alburnett Comm School District,41,45,91.1,90.1 - 100%,,,,,
2017,Math,11,0126,Algona Comm School District,83,98,84.7,80.1 - 90%,,,,,
2017,Reading,11,0126,Algona Comm School District,83,98,84.7,80.1 - 90%,,,,,
2017,Reading,11,0135,Allamakee Comm School District,62,78,79.5,70.1 - 80%,,,,,
2017,Math,11,0135,Allamakee Comm School District,65,78,83.3,80.1 - 90%,,,,,
2017,Reading,11,0171,Alta Comm School District,45,53,84.9,80.1 - 90%,,,,,
2017,Math,11,0171,Alta Comm School District,45,53,84.9,80.1 - 90%,,,,,
2017,Math,11,0225,Ames Comm School District,255,285,89.5,80.1 - 90%,,,,,
2017,Reading,11,0225,Ames Comm School District,238,285,83.5,80.1 - 90%,,,,,
2017,Reading,11,0234,Anamosa Comm School District,72,92,78.3,70.1 - 80%,,,,,
2017,Math,11,0234,Anamosa Comm School District,76,92,82.6,80.1 - 90%,,,,,
2017,Math,11,0261,Ankeny Comm School District,639,668,95.7,90.1 - 100%,,,,,
2017,Reading,11,0261,Ankeny Comm School District,609,668,91.2,90.1 - 100%,,,,,
2017,Math,11,0279,Aplington-Parkersburg Comm School District,59,67,88.1,80.1 - 90%,,,,,
2017,Reading,11,0279,Aplington-Parkersburg Comm School District,55,67,82.1,80.1 - 90%,,,,,
2017,Math,11,0355,Ar-We-Va Comm School District,13,14,92.9,90.1 - 100%,,,,,
2017,Reading,11,0355,Ar-We-Va Comm School District,12,14,85.7,80.1 - 90%,,,,,
2017,Reading,11,0387,Atlantic Comm School District,92,107,86.0,80.1 - 90%,,,,,
2017,Math,11,0387,Atlantic Comm School District,94,107,87.9,80.1 - 90%,,,,,
2017,Math,11,0414,Audubon Comm School District,26,28,92.9,90.1 - 100%,,,,,
2017,Reading,11,0414,Audubon Comm School District,25,28,89.3,80.1 - 90%,,,,,
2017,Reading,11,0472,Ballard Comm School District,102,123,82.9,80.1 - 90%,,,,,
2017,Math,11,0472,Ballard Comm School District,99,124,79.8,70.1 - 80%,,,,,
2017,Reading,11,0504,Battle Creek-Ida Grove Comm School District,52,60,86.7,80.1 - 90%,,,,,
2017,Math,11,0504,Battle Creek-Ida Grove Comm School District,57,60,95.0,90.1 - 100%,,,,,
2017,Math,11,0513,Baxter Comm School District,28,30,93.3,90.1 - 100%,,,,,
2017,Reading,11,0513,Baxter Comm School District,27,30,90.0,80.1 - 90%,,,,,
2017,Math,11,0540,BCLUW Comm School District,40,47,85.1,80.1 - 90%,,,,,
2017,Reading,11,0540,BCLUW Comm School District,38,47,80.9,80.1 - 90%,,,,,
2017,Math,11,0549,Bedford Comm School District,23,26,88.5,80.1 - 90%,,,,,
2017,Reading,11,0549,Bedford Comm School District,25,26,96.2,90.1 - 100%,,,,,
2017,Reading,11,0576,Belle Plaine Comm School District,28,35,80.0,70.1 - 80%,,,,,
2017,Math,11,0576,Belle Plaine Comm School District,32,35,91.4,90.1 - 100%,,,,,
2017,Math,11,0585,Bellevue Comm School District,34,42,81.0,80.1 - 90%,,,,,
