"fiscalyear","dist","district_name","source","expenditures_per_pupil","amount","enrollment_category","enrollment_category_number","topic","proficient","total","percent_proficient","proficient_category"
2017,"0009","AGWSR","Instruction",7989,4997256,"600-999","3","Reading",32,41,"78.00","70.1 - 80%"
2017,"0441","AHSTW","Instruction",7318,5744497,"600-999","3","Reading",45,54,"83.30","80.1 - 90%"
2017,"0027","Adel DeSoto Minburn","Instruction",7174,11256504,"1,000-2,499","4","Reading",105,116,"90.50","90.1 - 100%"
2017,"0063","Akron Westfield","Instruction",8339,4302923,"300-599","2","Reading",29,34,"85.30","80.1 - 90%"
2017,"0081","Albia","Instruction",7048,8506189,"1,000-2,499","4","Reading",63,77,"81.80","80.1 - 90%"
2017,"0099","Alburnett","Instruction",8564,4422485,"300-599","2","Reading",37,45,"82.20","80.1 - 90%"
2017,"0126","Algona","Instruction",9527,12607711,"1,000-2,499","4","Reading",83,98,"84.70","80.1 - 90%"
2017,"0135","Allamakee","Instruction",6924,7859834,"1,000-2,499","4","Reading",62,78,"79.50","70.1 - 80%"
2017,"0171","Alta","Instruction",8773,4684098,"300-599","2","Reading",45,53,"84.90","80.1 - 90%"
2017,"0225","Ames","Instruction",8293,34673691,"2,500-7,499","5","Reading",238,285,"83.50","80.1 - 90%"
2017,"0234","Anamosa","Instruction",7226,8910925,"1,000-2,499","4","Reading",72,92,"78.30","70.1 - 80%"
2017,"0261","Ankeny","Instruction",6824,73651217,"7,500+","6","Reading",609,668,"91.20","90.1 - 100%"
2017,"0279","Aplington-Parkersburg","Instruction",7687,6474009,"600-999","3","Reading",55,67,"82.10","80.1 - 90%"
2017,"0355","Ar-We-Va","Instruction",8419,2392802,"<300","1","Reading",12,14,"85.70","80.1 - 90%"
2017,"0387","Atlantic","Instruction",8461,11866392,"1,000-2,499","4","Reading",92,107,"86.00","80.1 - 90%"
2017,"0414","Audubon","Instruction",7543,3954045,"300-599","2","Reading",25,28,"89.30","80.1 - 90%"
2017,"0540","BCLUW","Instruction",7498,4285294,"300-599","2","Reading",38,47,"80.90","80.1 - 90%"
2017,"0472","Ballard","Instruction",7302,11703629,"1,000-2,499","4","Reading",102,123,"82.90","80.1 - 90%"
2017,"0504","Battle Creek-Ida Grove","Instruction",9448,6032585,"600-999","3","Reading",52,60,"86.70","80.1 - 90%"
2017,"0513","Baxter","Instruction",7966,2755396,"300-599","2","Reading",27,30,"90.00","80.1 - 90%"
2017,"0549","Bedford","Instruction",7256,3482084,"300-599","2","Reading",25,26,"96.20","90.1 - 100%"
2017,"0576","Belle Plaine","Instruction",7391,4037666,"300-599","2","Reading",28,35,"80.00","70.1 - 80%"
